condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
complex_sentence,26,26,SubjRel,Les,bars,branchés,qui,ont,remplacé,les,anciens,restaurants,prospèrent.,bars,grince
complex_sentence,27,27,SubjRel,Au,musée,les,parents,qui,ont,des,enfants,fatigués,râlent.,enfants,tôt
complex_sentence,28,28,SubjRel,Le,locataire,qui,joue,du,violon,irrite,le,concierge,mélomane.,irrite,kilo
complex_sentence,29,29,SubjRel,Le,sportif,russe,qui,s'entraîne,assidûment,a,battu,son,adversaire.,assidûment,bureau
complex_sentence,30,30,SubjRel,Les,dirigeants,qui,perdent,les,ouvriers,les,plus,compétents,dépriment.,ouvriers,loquace
complex_sentence,31,31,SubjRel,Le,café,qui,accompagne,le,dessert,au,chocolat,a,refroidi.,dessert,écarte
complex_sentence,32,32,SubjRel,Les,vents,dominants,qui,annoncent,la,pleine,saison,froide,changent.,pleine,viseur
complex_sentence,33,33,SubjRel,Le,spectateur,qui,adore,le,chant,de,la,belle,s'émerveille.,chant,écureuil
complex_sentence,34,34,SubjRel,Le,soleil,qui,révèle,les,paysages,incroyables,de,l'île,resplendit.,incroyables,estompe
complex_sentence,35,35,SubjRel,Cet,été,la,rivière,qui,remplit,le,réservoir,artificiel,s’assèche.,été,pain
complex_sentence,36,36,SubjRel,Cette,année,les,arbres,qui,perdent,leurs,branches,sèches,tombent.,perdent,excellente
complex_sentence,37,37,SubjRel,Le,vieux,moine,qui,dirige,la,chorale,du,monastère,s'assoupit.,chorale,réagit
complex_sentence,38,38,SubjRel,Un,chamois,qui,traversait,la,route,a,gêné,une,voiture.,traversait,perroquet
complex_sentence,39,39,SubjRel,Le,petit,garçon,qui,impatiente,le,maître,d'école,obéit,lentement.,lentement,mourant
complex_sentence,40,40,SubjRel,Le,violoniste,soucieux,qui,soigne,bien,sa,tendinite,récidivante,s'apaise.,bien,ballerine
complex_sentence,41,41,ObjRel,Le,paquebot,que,le,puissant,remorqueur,tire,rentre,au,port.,puissant,ridé
complex_sentence,42,42,ObjRel,Le,voleur,que,son,complice,déloyal,a,abandonné,est,affaibli.,déloyal,cache
complex_sentence,43,43,ObjRel,Le,maçon,que,l’apprenti,observe,termine,le,plâtre,du,mur.,apprenti,corrige
complex_sentence,44,44,ObjRel,Le,comédien,que,le,public,ému,a,applaudi,était,excellent.,ému,verbeux
complex_sentence,45,45,ObjRel,Les,chats,sauvages,que,ce,chien,peureux,craint,règnent,ici.,craint,craquelure
complex_sentence,46,46,ObjRel,Le,cycliste,que,le,célèbre,journaliste,interroge,a,triomphé,aujourd'hui.,célèbre,rocher
complex_sentence,47,47,ObjRel,En,hiver,les,nationales,que,les,autoroutes,dégagées,longent,ferment.,longent,cheval
complex_sentence,48,48,ObjRel,Le,grand,festival,que,le,brillant,ténor,inaugure,débute,aujourd'hui.,festival,lampion
complex_sentence,49,49,ObjRel,Le,jeune,stagiaire,débutant,que,le,manager,compétent,encadre,s'active.,jeune,librement
complex_sentence,50,50,ObjRel,En,banlieue,les,maisons,que,les,immeubles,remplacent,ont,disparu.,maisons,thèse
complex_sentence,51,51,ObjRel,Le,comptable,que,le,juge,soupçonne,toujours,est,présumé,innocent.,est,crâne
complex_sentence,52,52,ObjRel,Le,fameux,champion,sortant,que,le,boxeur,adverse,déconcentre,gagne.,déconcentre,tristement
complex_sentence,53,53,ObjRel,L'exposition,universelle,que,l'UNESCO,apprécie,prône,une,vraie,démarche,écologique.,UNESCO,clou
complex_sentence,54,54,ObjRel,La,chanson,que,la,critique,adore,exprime,une,nostalgie,profonde.,nostalgie,affectueux
complex_sentence,55,55,ObjRel,Les,relations,bilatérales,que,la,politique,extérieure,change,reprennent,lentement.,relations,taper
complex_sentence,56,56,ObjRel,Le,redressement,financier,que,le,PDG,allemand,a,mené,échoue.,financier,baldaquin
complex_sentence,57,57,ObjRel,La,vieille,dame,que,le,jeune,homme,hâtif,bouscule,rouspète.,hâtif,peintre
complex_sentence,58,58,ObjRel,Les,cigognes,que,les,Alsaciens,observent,dans,le,ciel,migrent.,observent,visiteur
complex_sentence,59,59,ObjRel,Le,gros,tracteur,que,le,paysan,conduit,trop,lentement,cale.,conduit,parquet
complex_sentence,60,60,ObjRel,Le,propriétaire,que,le,serrurier,étonne,monte,mal,la,porte.,mal,prisonnier
