condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
word_list,26,426,word_list,Éxubérante,rockeuse,le,depuis,accompagnera,renvoyez,serviette,que,dessus,les.,serviette,sénateur
word_list,27,427,word_list,Cornu,le,doit,arbitre,s'arrête,que,le,punis,oblige,carburer.,s'arrête,clash
word_list,28,428,word_list,Les,livrera,mangues,serrais,fictif,très,bleuets,les,que,s'enrhume.,fictif,stratagèmes
word_list,29,429,word_list,Qui,pyjama,mauvais,sommes,la,a,un,prouvé,planifier,éclaboussé.,sommes,approuvé
word_list,30,430,word_list,Sordides,les,que,arme,demandant,copient,pouilleux,envies,Les,comparera.,arme,gérerai
word_list,31,431,word_list,A,le,bonsoir,le,passant,lilas,sourit,pain,brandira,que.,sourit,préventif
word_list,32,432,word_list,Rapport,astuces,que,tente,pâquerettes,les,s'entassent,retenu,les,ponts.,ponts,remanié
word_list,33,433,word_list,Que,les,jamais,somptueuse,internement,sous,front,apportés,les,ont.,internement,confus
word_list,34,434,word_list,Car,voudrai,les,disque,blindage,orgue,au,trembler,siestes,niche.,blindage,ouvrais
word_list,35,435,word_list,Donne,les,et,estomper,hilare,braque,la,arme,l'une,colle.,braque,fallu
word_list,36,436,word_list,Perdreaux,une,bourgogne,le,s'irrite,que,sert,du,dès,jardin.,jardin,complétés
word_list,37,437,word_list,Assuraient,que,botte,exemplaire,le,paniers,issue,minou,s'entraîne,son.,paniers,lampes
word_list,38,438,word_list,Cessant,ravirait,orme,les,demandions,orientale,flammes,pendouille,les,les.,demandions,musique
word_list,39,439,word_list,Muet,se,le,sans,serviettes,bahut,la,au,protège,roula.,serviettes,diagrammes
word_list,40,440,word_list,Que,devant,bleu,les,persuader,puisses,au,affaibli,le,sort.,sort,bizarre
word_list,41,441,word_list,Doudounes,dès,promo,la,tesson,que,missions,devant,les,buteur.,devant,mâts
word_list,42,442,word_list,S'émerveille,toute,son,sourit,la,que,dès,litre,apporterez,le.,apporterez,maître
word_list,43,443,word_list,Dansez,grosse,plongiez,dès,bombardons,le,que,marronniers,l'usure,des.,plongiez,astronomie
word_list,44,444,word_list,La,futures,s'afflige,basque,l'été,que,sachiez,le,se,affoles.,futures,utile
word_list,45,445,word_list,Sont,gonfler,limace,que,les,manteaux,numéro,les,aussitôt,facs.,aussitôt,couverts
word_list,46,446,word_list,Cornu,mesurer,de,la,s'assoupit,accède,mordu,dément,plier,le.,mordu,droite
word_list,47,447,word_list,Alerté,une,la,un,allant,fournirons,mauvais,omettez,point,est.,mauvais,grimperais
word_list,48,448,word_list,Le,s'avère,d'école,mare,que,opère,boulon,vantez,le,planifier.,planifier,réservations
word_list,49,449,word_list,Le,sa,ortho,que,dès,enclenchez,chantilly,se,s'écrit,vielle.,ortho,parenthèses
word_list,50,450,word_list,Percerez,et,le,math,planifier,au,le,absolument,barre,payais.,math,bouffais
word_list,51,451,word_list,Le,le,pointant,dissimuler,vaccination,le,s'explique,trompa,et,sur.,pointant,mouvement
word_list,52,452,word_list,Son,est,invitent,le,cuit,tairais,joufflu,et,parle,remarier.,invitent,tiercé
word_list,53,453,word_list,Chanceuses,et,varicelle,efficacement,impartiale,ignorant,les,enlumineurs,les,aux.,varicelle,étudiait
word_list,54,454,word_list,Le,amusons,manuels,le,et,constituent,le,suer,thé,pilotis.,amusons,barbouillé
word_list,55,455,word_list,A,allumette,grains,formeront,ajoutais,le,acoquiner,teste,le,et.,acoquiner,jugés
word_list,56,456,word_list,Saboter,ce,enclencher,marquise,ampli,les,et,tutoyez,est,bulbe.,ampli,imperméables
word_list,57,457,word_list,Cuisines,prélèvement,le,entrerai,ce,et,a,s'interroge,brutaux,feuilletons.,brutaux,toqués
word_list,58,458,word_list,Brosses,fermer,et,en,le,souffrit,basse-cour,baguette,les,terrestres.,terrestres,fûts
word_list,59,459,word_list,Disons,divan,se,squate,le,et,poulpes,cultivez,prélèvement,le.,cultivez,veulent
word_list,60,460,word_list,Vilain,me,nom,s'active,matrice,le,et,percutant,un,est.,percutant,taché
